sale_id,date,product_id,product_name,category,brand,unit_price,unit_cost,customer_id,customer_name,city,country,age,channel_id,channel,quantity,unit_price_sale
1,2025-03-21,3,Monitor Model 3,Monitor,ViewMax,605.35,709.16,8,Customer 8,City 8,Canada,34,1,Physical Store 1,5,590.41
2,2025-05-06,2,Peripherals Model 2,Peripherals,Clicker,1448.37,966.29,7,Customer 7,City 7,Canada,64,3,Online,5,1311.9
3,2025-02-23,3,Monitor Model 3,Monitor,ViewMax,605.35,709.16,6,Customer 6,City 6,Mexico,39,1,Physical Store 1,2,505.93
4,2025-06-25,3,Monitor Model 3,Monitor,ViewMax,605.35,709.16,10,Customer 10,City 10,USA,52,1,Physical Store 1,5,526.89
5,2025-06-07,4,Phone Model 4,Phone,SmartTech,1345.58,332.4,8,Customer 8,City 8,Canada,34,2,Physical Store 2,5,1094.76
6,2025-04-12,3,Monitor Model 3,Monitor,ViewMax,605.35,709.16,1,Customer 1,City 1,Canada,52,1,Physical Store 1,5,595.95
7,2025-02-25,3,Monitor Model 3,Monitor,ViewMax,605.35,709.16,8,Customer 8,City 8,Canada,34,3,Online,3,455.23
8,2025-04-04,2,Peripherals Model 2,Peripherals,Clicker,1448.37,966.29,7,Customer 7,City 7,Canada,64,3,Online,1,1201.65
9,2025-05-06,4,Phone Model 4,Phone,SmartTech,1345.58,332.4,10,Customer 10,City 10,USA,52,3,Online,1,1075.07
10,2025-05-13,2,Peripherals Model 2,Peripherals,Clicker,1448.37,966.29,5,Customer 5,City 5,Canada,38,1,Physical Store 1,2,1307.33
11,2025-01-15,3,Monitor Model 3,Monitor,ViewMax,605.35,709.16,3,Customer 3,City 3,Mexico,60,1,Physical Store 1,2,503.93
12,2025-03-30,1,Laptop Model 1,Laptop,TechBrand,1388.88,340.9,7,Customer 7,City 7,Canada,64,2,Physical Store 2,3,1052.68
13,2025-05-18,3,Monitor Model 3,Monitor,ViewMax,605.35,709.16,5,Customer 5,City 5,Canada,38,1,Physical Store 1,3,450.37
14,2025-04-12,4,Phone Model 4,Phone,SmartTech,1345.58,332.4,10,Customer 10,City 10,USA,52,1,Physical Store 1,5,1285.17
15,2025-01-06,3,Monitor Model 3,Monitor,ViewMax,605.35,709.16,5,Customer 5,City 5,Canada,38,1,Physical Store 1,5,511.38
16,2025-01-13,4,Phone Model 4,Phone,SmartTech,1345.58,332.4,2,Customer 2,City 2,Canada,36,3,Online,4,974.6
17,2025-02-10,1,Laptop Model 1,Laptop,TechBrand,1388.88,340.9,7,Customer 7,City 7,Canada,64,1,Physical Store 1,5,1327.34
18,2025-01-14,2,Peripherals Model 2,Peripherals,Clicker,1448.37,966.29,9,Customer 9,City 9,USA,26,2,Physical Store 2,4,1110.02
19,2025-01-02,4,Phone Model 4,Phone,SmartTech,1345.58,332.4,10,Customer 10,City 10,USA,52,3,Online,2,1033.09
20,2025-06-15,1,Laptop Model 1,Laptop,TechBrand,1388.88,340.9,10,Customer 10,City 10,USA,52,1,Physical Store 1,2,1280.3
21,2025-03-16,4,Phone Model 4,Phone,SmartTech,1345.58,332.4,7,Customer 7,City 7,Canada,64,3,Online,4,976.52
22,2025-04-02,3,Monitor Model 3,Monitor,ViewMax,605.35,709.16,9,Customer 9,City 9,USA,26,1,Physical Store 1,5,520.63
23,2025-06-02,3,Monitor Model 3,Monitor,ViewMax,605.35,709.16,10,Customer 10,City 10,USA,52,3,Online,2,457.39
24,2025-04-24,2,Peripherals Model 2,Peripherals,Clicker,1448.37,966.29,1,Customer 1,City 1,Canada,52,1,Physical Store 1,1,1344.13
25,2025-01-02,3,Monitor Model 3,Monitor,ViewMax,605.35,709.16,10,Customer 10,City 10,USA,52,2,Physical Store 2,3,568.56
26,2025-06-05,1,Laptop Model 1,Laptop,TechBrand,1388.88,340.9,2,Customer 2,City 2,Canada,36,1,Physical Store 1,3,1387.54
27,2025-04-02,3,Monitor Model 3,Monitor,ViewMax,605.35,709.16,8,Customer 8,City 8,Canada,34,3,Online,1,533.66
28,2025-04-03,1,Laptop Model 1,Laptop,TechBrand,1388.88,340.9,6,Customer 6,City 6,Mexico,39,3,Online,3,1235.04
29,2025-01-03,1,Laptop Model 1,Laptop,TechBrand,1388.88,340.9,6,Customer 6,City 6,Mexico,39,2,Physical Store 2,3,1257.85
30,2025-04-01,2,Peripherals Model 2,Peripherals,Clicker,1448.37,966.29,7,Customer 7,City 7,Canada,64,3,Online,5,1145.14
31,2025-01-24,4,Phone Model 4,Phone,SmartTech,1345.58,332.4,4,Customer 4,City 4,Mexico,37,3,Online,2,1029.77
32,2025-05-03,4,Phone Model 4,Phone,SmartTech,1345.58,332.4,4,Customer 4,City 4,Mexico,37,3,Online,5,1114.59
33,2025-03-03,4,Phone Model 4,Phone,SmartTech,1345.58,332.4,4,Customer 4,City 4,Mexico,37,2,Physical Store 2,5,1037.96
